GeneId.Ensembl;PANC.1;PANC.2;SCR.1;SCR.2;SH.1;SH.2;mock.1;mock.2;mrp4.1;mrp4.2;Xmock.1;Xmock.2;Xmock.3;Xmrp4.1;Xmrp4.2;Xmrp4.3;GeneSymbol
ENSG00000257084.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR200CHG
ENSG00000207713.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR200C
ENSG00000207708.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;MIR141
ENSG00000215021.10;4126;3352;4130;3594;3377;3836;7597;6384;7188;6971;5411;4928;7142;11123;7838;8591;PHB2
ENSG00000238795.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SCARNA12
ENSG00000126749.16;1173;847;1185;1305;1035;1226;1237;941;1081;1082;1015;942;1303;1254;988;1021;EMG1
ENSG00000111684.11;192;337;158;104;138;108;169;248;160;205;38;26;20;48;36;69;LPCAT3
ENSG00000182326.16;10;15;5;1;2;1;38;35;10;12;24;18;27;20;38;22;C1S
ENSG00000239701.1;1;0;0;1;0;0;0;0;0;0;0;13;2;2;0;0;RPL37P20
ENSG00000159403.18;2;12;2;1;0;0;334;345;28;29;351;298;358;83;44;89;C1R
ENSG00000139178.12;44;88;32;11;30;29;38;80;4;10;67;67;39;35;16;25;C1RL
ENSG00000205885.8;7;15;5;2;1;7;1;6;0;0;8;2;2;0;0;0;C1RL-AS1
ENSG00000139194.8;5;5;1;1;2;0;11;11;9;1;3;7;16;0;3;5;RBP5
ENSG00000200345.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RNU6-485P
